Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2022-10-11,1008388.2532359585,1050839.8767103567,990245.9757091005,992056.1013578423,967419.7745057846,985857.8031757362,857507.4727094637
2022-10-12,1008953.962452287,1051574.7386087817,990626.4434703521,992306.4607491402,966482.1108508429,985331.3003723153,860071.7370827585
2022-10-13,1038531.9353234154,1092453.1780702737,1018864.8834271602,1019414.1023852119,993873.3922719455,1014445.4050028838,901754.9213170887
2022-10-14,1021461.8441129796,1078021.2165662134,1007923.6378353988,1005607.9603846959,980510.1019526668,1000237.541558109,873711.5858402558
2022-10-17,1047204.5612096018,1089823.345207817,1028400.1813853481,1026322.8322111648,998740.3900784199,1019472.907668631,880094.9918192188
2022-10-18,1055860.8117677204,1105425.0103575822,1037197.1332393204,1035921.8590184464,1009922.9500255644,1030945.2419140775,887787.9865500525
2022-10-19,1051071.1548675664,1131752.8924907958,1028747.308114178,1031280.3191189842,1006614.6322574909,1027568.168026275,916595.1540328976
2022-10-20,1049068.6890434802,1118130.501385729,1027819.8717084503,1027724.0354465628,1003629.5531938984,1025270.8702581637,921832.7352455731
2022-10-21,1073458.7379206736,1152553.640634868,1047447.0355838785,1052082.0161182343,1028410.3040382479,1049044.4529317257,944911.219259415
2022-10-24,1090130.453419388,1172851.6706881416,1063439.2025181383,1063625.32301258,1042209.27515433,1062004.1712827343,944583.986173445
2022-10-25,1103329.2847506448,1166834.387792867,1077001.9455937399,1079428.240305055,1053363.4014689333,1075829.5594849654,954404.6032104756
2022-10-26,1080864.53165896,1175450.379887488,1075620.6234708717,1071644.6155130633,1053441.7878240983,1076095.0104916063,966189.3935690802
2022-10-27,1075788.1698374809,1181374.4806889552,1074680.3944698623,1076917.7050122272,1059866.1732311307,1080081.1383182681,970608.5409538656
2022-10-28,1111471.0326901828,1205761.705542591,1109438.8007959407,1110768.5102335762,1087278.9737423158,1110687.0072199765,981956.9376398886
2022-10-31,1102238.277468474,1212837.5106767493,1100888.4858695862,1102405.0367709533,1083015.7382740993,1104328.7764242596,986976.4143656621
2022-11-01,1095115.5617445423,1213533.6906920073,1098086.800084315,1100167.2578375405,1080377.0971742657,1102298.0850125921,994178.206033811
2022-11-02,1070526.2841782607,1209218.898098686,1083237.075870427,1081972.6846896173,1063653.9208169861,1084326.6507495597,973882.0746997463
2022-11-03,1056755.8855618197,1205632.1224604521,1073678.9462689206,1080626.9142329004,1058806.438821938,1078360.2598438025,988231.2542806809
2022-11-04,1074178.7850328803,1222240.0601310022,1091248.66899837,1097924.8599897607,1072106.2058212433,1095247.3112035855,1000725.3387124618
2022-11-07,1092712.8369393826,1231258.2666848456,1105418.877275738,1109318.2731484743,1086127.540868177,1106789.829864473,1012673.7036302631
2022-11-08,1102107.1138199682,1237060.3103079384,1118560.021109059,1117601.8139958195,1097172.7146726334,1116407.0890547982,1011200.5780536997
2022-11-09,1081230.1479271082,1221482.7543117288,1101215.1172688955,1098069.9234422005,1075769.4916428383,1092638.38015649,970772.1696995278
2022-11-10,1137639.848007383,1254575.2827457818,1151646.3046694957,1147147.0582760584,1115520.5500201879,1137869.0457575908,989158.9486261567
2022-11-11,1144757.2687945715,1263768.5950027292,1153694.8509619394,1154410.793742187,1116595.4705740337,1145073.1896897145,1017311.3105089667
2022-11-14,1134845.0443678624,1257347.6811353464,1146703.8630336015,1148021.013354266,1109608.939327281,1139243.8690318211,1017802.5445564156
2022-11-15,1136968.4272634888,1251500.3864376205,1147169.134168129,1149856.27602865,1111469.1451144041,1143418.589950745,1025986.223191567
