Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2022-01-11,1255726.2315437552,1237033.6656041099,1237647.698354194,1199449.1371426475,1222110.030086063
2022-01-12,1248708.7366754266,1237712.9375796115,1241784.690190999,1200716.3724474998,1223252.7377509517
2022-01-13,1253179.393620906,1233517.351409832,1235951.209003838,1194870.0298656537,1219262.3445271621
2022-01-14,1244134.2537940058,1226998.9137340754,1234353.5473364706,1188192.7789946797,1214918.7708415065
2022-01-18,1221014.1427063104,1209183.720656795,1220099.7068867185,1170215.6148204363,1200016.9556906943
2022-01-19,1210258.3671674735,1199160.458020322,1210704.4968652327,1158972.1810508966,1189288.5148542062
2022-01-20,1209475.5053405033,1188801.7421594423,1196832.2994965406,1148607.605014452,1177762.5924933632
2022-01-21,1196478.5087648868,1175666.5417191656,1185166.0363267476,1133718.0748466265,1162001.629540234
2022-01-24,1203116.3284293183,1172760.792855717,1186537.9115048386,1136997.8943602666,1163372.8320487654
2022-01-25,1204498.4936634267,1178854.930947759,1183039.4157899804,1134788.730355591,1165060.8116541216
2022-01-26,1195021.235058477,1174862.2903054971,1177641.9181042758,1130499.38764295,1158974.1033569456
